2023-06-11 10:28:08,158 INFO main.py'' create_raid 63 :: messa
2023-06-11 10:28:52,372 INFO main.py'' get_server_drives 53 :: Listing the server drivers
2023-06-11 10:31:01,823 INFO main.py'' get_server_uptime 43 :: Server not upNone
2023-06-11 10:31:31,767 INFO main.py'' get_server_uptime 40 :: Server up<re.Match object; span=(10, 18), match='up  1:00'>
2023-06-11 10:41:02,259 INFO main.py'' create_partition 62 :: partition created
2023-06-11 10:43:56,825 INFO main.py'' create_partition 62 :: partition created
2023-06-11 10:57:40,120 INFO main.py'' create_raid 77 :: Raid Created
2023-06-11 10:58:12,371 INFO main.py'' delete_raid 86 :: Raid Stop
2023-06-11 11:04:41,576 INFO main.py'' sensors_info 94 :: sensor detailsSEL              | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
M23 VDDQ PG      | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
M23 VTT PG       | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
FETDRV PG        | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
VSA PG           | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
VSA PG           | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
M01 VDDQ PG      | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
M01 VDDQ PG      | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
M23 VTT PG       | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
M01 VTT PG       | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
NDC PG           | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
LCD Cable Pres   | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
VTT PG           | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
VTT PG           | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
M23 VDDQ PG      | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
Status           | 0x0        | discrete   | 0x8080| na        | na        | na        | na        | na        | na        
Status           | 0x0        | discrete   | 0x8080| na        | na        | na        | na        | na        | na        
Fan Redundancy   | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Riser Config Err | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
1.5V PG          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
BP1 5V PG        | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
BP2 5V PG        | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
BP3 5V PG        | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
M01 VTT PG       | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
PCIe Slot0       | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
PCIe Slot1       | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
PCIe Slot2       | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
PCIe Slot3       | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
PCIe Slot4       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
PCIe Slot5       | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
PCIe Slot6       | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
vFlash           | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
CMOS Battery     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
Current 1        | 0.300      | Amps       | ok    | na        | na        | na        | na        | na        | na        
Current 2        | 0.400      | Amps       | ok    | na        | na        | na        | na        | na        | na        
Voltage 1        | 232.000    | Volts      | ok    | na        | na        | na        | na        | na        | na        
Voltage 2        | 232.000    | Volts      | ok    | na        | na        | na        | na        | na        | na        
PS Redundancy    | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Status           | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Status           | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Pwr Consumption  | 154.000    | Watts      | ok    | na        | na        | na        | 1792.000  | 1974.000  | na        
Power Optimized  | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
SD1              | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
SD2              | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Redundancy       | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
ECC Corr Err     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
ECC Uncorr Err   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
I/O Channel Chk  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
PCI Parity Err   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
PCI System Err   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
SBE Log Disabled | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Logging Disabled | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Unknown          | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
CPU Protocol Err | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
CPU Bus PERR     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
CPU Init Err     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
CPU Machine Chk  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Memory Spared    | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Memory Mirrored  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Memory RAID      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Memory Added     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Memory Removed   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Memory Cfg Err   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Mem Redun Gain   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
PCIE Fatal Err   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Chipset Err      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Err Reg Pointer  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Mem ECC Warning  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Mem CRC Err      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
USB Over-current | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
POST Err         | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Hdwr version err | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Mem Overtemp     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Mem Fatal SB CRC | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Mem Fatal NB CRC | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
OS Watchdog Time | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Non Fatal PCI Er | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Fatal IO Error   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
MSR Info Log     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
TXT Status       | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Drive 0          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Drive 15         | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Drive 30         | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS A      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS B      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS C      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS D      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS A      | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Cable SAS B      | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Cable SAS C      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS D      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS A      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS B      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS C      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS D      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS A      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS B      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS C      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS D      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Power Cable      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Signal Cable     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Power Cable      | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Signal Cable     | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Power Cable      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Signal Cable     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Power Cable      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Signal Cable     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
PFault Fail Safe | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
ROMB Battery     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
ROMB Battery     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Riser 1 Presence | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Riser 2 Presence | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Riser 3 Presence | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        

2023-06-11 11:05:29,207 INFO main.py'' sensors_info 94 :: sensor detailsSEL              | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Intrusion        | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
Fan1 RPM         | 3960.000   | RPM        | ok    | na        | 600.000   | 840.000   | na        | na        | na        
Fan2 RPM         | 4080.000   | RPM        | ok    | na        | 600.000   | 840.000   | na        | na        | na        
Fan3 RPM         | 3960.000   | RPM        | ok    | na        | 600.000   | 840.000   | na        | na        | na        
Fan4 RPM         | 3960.000   | RPM        | ok    | na        | 600.000   | 840.000   | na        | na        | na        
Fan5 RPM         | 3960.000   | RPM        | ok    | na        | 600.000   | 840.000   | na        | na        | na        
Fan6 RPM         | 3960.000   | RPM        | ok    | na        | 600.000   | 840.000   | na        | na        | na        
Inlet Temp       | 32.000     | degrees C  | ok    | na        | -7.000    | 3.000     | 42.000    | 47.000    | na        
Exhaust Temp     | 40.000     | degrees C  | ok    | na        | 3.000     | 8.000     | 70.000    | 75.000    | na        
Temp             | na         |            | na    | na        | na        | na        | 0.000     | na        | na        
Temp             | na         |            | na    | na        | na        | na        | 0.000     | na        | na        
OS Watchdog      | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
VCORE PG         | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
VCORE PG         | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
3.3V PG          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
5V PG            | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
USB Cable Pres   | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Dedicated NIC    | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
VGA Cable Pres   | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
PLL PG           | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
PLL PG           | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
1.1V PG          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
BP0 5V PG        | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
M23 VDDQ PG      | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
M23 VTT PG       | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
FETDRV PG        | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
VSA PG           | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
VSA PG           | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
M01 VDDQ PG      | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
M01 VDDQ PG      | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
M23 VTT PG       | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
M01 VTT PG       | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
NDC PG           | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
LCD Cable Pres   | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
VTT PG           | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
VTT PG           | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
M23 VDDQ PG      | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
Status           | 0x0        | discrete   | 0x8080| na        | na        | na        | na        | na        | na        
Status           | 0x0        | discrete   | 0x8080| na        | na        | na        | na        | na        | na        
Fan Redundancy   | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Riser Config Err | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
1.5V PG          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
BP1 5V PG        | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
BP2 5V PG        | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
BP3 5V PG        | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
M01 VTT PG       | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
PCIe Slot0       | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
PCIe Slot1       | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
PCIe Slot2       | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
PCIe Slot3       | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
PCIe Slot4       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
PCIe Slot5       | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
PCIe Slot6       | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
vFlash           | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
CMOS Battery     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
Current 1        | 0.300      | Amps       | ok    | na        | na        | na        | na        | na        | na        
Current 2        | 0.400      | Amps       | ok    | na        | na        | na        | na        | na        | na        
Voltage 1        | 232.000    | Volts      | ok    | na        | na        | na        | na        | na        | na        
Voltage 2        | 232.000    | Volts      | ok    | na        | na        | na        | na        | na        | na        
PS Redundancy    | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Status           | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Status           | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Pwr Consumption  | 154.000    | Watts      | ok    | na        | na        | na        | 1792.000  | 1974.000  | na        
Power Optimized  | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
SD1              | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
SD2              | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Redundancy       | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
ECC Corr Err     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
ECC Uncorr Err   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
I/O Channel Chk  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
PCI Parity Err   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
PCI System Err   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
SBE Log Disabled | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Logging Disabled | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Unknown          | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
CPU Protocol Err | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
CPU Bus PERR     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
CPU Init Err     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
CPU Machine Chk  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Memory Spared    | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Memory Mirrored  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Memory RAID      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Memory Added     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Memory Removed   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Memory Cfg Err   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Mem Redun Gain   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
PCIE Fatal Err   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Chipset Err      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Err Reg Pointer  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Mem ECC Warning  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Mem CRC Err      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
USB Over-current | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
POST Err         | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Hdwr version err | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Mem Overtemp     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Mem Fatal SB CRC | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Mem Fatal NB CRC | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
OS Watchdog Time | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Non Fatal PCI Er | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Fatal IO Error   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
MSR Info Log     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
TXT Status       | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Drive 0          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Drive 15         | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Drive 30         | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS A      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS B      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS C      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS D      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS A      | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Cable SAS B      | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Cable SAS C      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS D      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS A      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS B      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS C      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS D      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS A      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS B      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS C      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Cable SAS D      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Power Cable      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Signal Cable     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Power Cable      | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Signal Cable     | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Power Cable      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Signal Cable     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Power Cable      | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Signal Cable     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
PFault Fail Safe | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
ROMB Battery     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
ROMB Battery     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Riser 1 Presence | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Riser 2 Presence | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Riser 3 Presence | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
\s
2023-06-11 11:31:24,336 INFO main.py'' check_bios 104 :: bios information# dmidecode 3.3
Getting SMBIOS data from sysfs.
SMBIOS 2.7 present.

Handle 0x0000, DMI type 0, 24 bytes
BIOS Information
	Vendor: Dell Inc.
	Version: 1.2.6
	Release Date: 05/10/2012
	Address: 0xF0000
	Runtime Size: 64 kB
	ROM Size: 8 MB
	Characteristics:
		ISA is supported
		PCI is supported
		PNP is supported
		BIOS is upgradeable
		BIOS shadowing is allowed
		Boot from CD is supported
		Selectable boot is supported
		EDD is supported
		Japanese floppy for Toshiba 1.2 MB is supported (int 13h)
		5.25"/360 kB floppy services are supported (int 13h)
		5.25"/1.2 MB floppy services are supported (int 13h)
		3.5"/720 kB floppy services are supported (int 13h)
		8042 keyboard services are supported (int 9h)
		Serial services are supported (int 14h)
		CGA/mono video services are supported (int 10h)
		ACPI is supported
		USB legacy is supported
		BIOS boot specification is supported
		Function key-initiated network boot is supported
		Targeted content distribution is supported
		UEFI is supported
	BIOS Revision: 1.2


